"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7946354",0.0283097133159268,4.41847945888498,1.25653635487408,0.209854133985102,0.328160104226833,-6.44556165599056
"8047217",0.0351916694941847,8.79739933390415,1.25647420624538,0.209876622634395,0.328179858357164,-6.44563920121644
"7940679",-0.0267918697887175,5.44503328195527,-1.25642306040486,0.209895131209943,0.328193387363112,-6.44570301499361
"8026488",-0.0439295683338735,5.57414533538978,-1.25614390110324,0.209996173859925,0.32833595985227,-6.44605127188466
"7922868",0.0218803107209622,2.61791437569649,1.25609238813033,0.210014823019894,0.328349700056036,-6.44611552699059
"8016431",-0.021104831610502,2.57746216684026,-1.25583147046753,0.210109301130236,0.328481988906632,-6.44644094459001
"8180219",0.028786336539174,3.8016455583099,1.25560777763495,0.210190324761007,0.328593231774602,-6.44671988194152
"8024070",0.0243898392244514,4.37684129394249,1.25551176822861,0.210225107231557,0.32863217819198,-6.44683958731734
"8129271",-0.0180887518204967,2.32702590182748,-1.25540869136815,0.210262454771641,0.328675130582194,-6.44696809437037
"8026363",-0.0311992218811897,5.88452717460383,-1.25514331369993,0.210358630492867,0.328810032838278,-6.44729889555907
"8124632",0.0240470528815637,2.64847766252077,1.25500640696234,0.210408259472382,0.328832318908589,-6.44746952682421
"8178285",0.0240470528815637,2.64847766252077,1.25500640696234,0.210408259472382,0.328832318908589,-6.44746952682421
"8179589",0.0240470528815637,2.64847766252077,1.25500640696234,0.210408259472382,0.328832318908589,-6.44746952682421
"7907970",0.0488523133993018,5.83315070727157,1.25499501047618,0.210412391106298,0.328832318908589,-6.44748372980022
"8109161",0.0387552380072698,6.44054356556869,1.254915846913,0.210441092357812,0.328861738031542,-6.44758238459743
"8129363",0.0352523710469006,8.11571692112141,1.25482019430249,0.210475775615196,0.32890050218975,-6.4477015800686
"7932243",0.040018065529744,6.47294961254633,1.25471455725431,0.210514084019004,0.328944927288037,-6.44783320698286
